year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2012,Iran,1666 ,1446 ,888 ,1885 ,1278 ,1941 ,597 ,762 ,905 ,397 ,237 ,465 ,13002 ,9464 ,10312 ,6211 ,6062 ,4561 ,4672 ,6200 ,9105 ,6618 ,4546 ,4296 
2012,Israel,245 ,269 ,272 ,125 ,381 ,113 ,232 ,207 ,208 ,146 ,369 ,129 ,6569 ,8713 ,13012 ,5454 ,4650 ,4244 ,8757 ,5565 ,10749 ,5365 ,13169 ,5385 
2012,India,335 ,321 ,806 ,300 ,371 ,310 ,201 ,231 ,336 ,180 ,330 ,202 ,881 ,1001 ,1114 ,1651 ,1947 ,1570 ,1355 ,1311 ,1458 ,1168 ,1201 ,1193 
2012,Indonesia,243 ,198 ,605 ,350 ,214 ,260 ,370 ,493 ,502 ,240 ,266 ,178 ,576 ,935 ,740 ,925 ,794 ,717 ,555 ,606 ,1839 ,807 ,747 ,404 
2012,Jordan,25 ,94 ,10 ,1 ,50 ,12 ,42 ,47 ,66 ,30 ,38 ,21 ,1410 ,1153 ,933 ,1131 ,935 ,933 ,1275 ,1031 ,1249 ,1111 ,966 ,853 
2012,Vietnam,385 ,311 ,603 ,874 ,433 ,904 ,1371 ,501 ,570 ,345 ,707 ,500 ,872 ,1078 ,1089 ,1349 ,2052 ,2039 ,1490 ,1255 ,1018 ,1256 ,1453 ,1237 
2013,Afghanistan,115 ,39 ,67 ,167 ,60 ,135 ,137 ,380 ,909 ,184 ,174 ,236 ,9022 ,5632 ,9079 ,2951 ,2842 ,11387 ,8925 ,7397 ,7682 ,9715 ,12706 ,7977 
2013,Egypt,102 ,105 ,182 ,33 ,76 ,83 ,248 ,227 ,117 ,135 ,56 ,269 ,2438 ,2153 ,3549 ,1021 ,808 ,3550 ,14545 ,11996 ,3791 ,5103 ,3940 ,2129 
2013,Pakistan,320 ,786 ,519 ,243 ,1418 ,933 ,3137 ,1224 ,955 ,1037 ,660 ,692 ,4089 ,2617 ,3349 ,1215 ,2049 ,2700 ,4185 ,7424 ,6187 ,9960 ,7594 ,3621 
2013,Palestine,3 ,21 ,20 ,44 ,364 ,67 ,33 ,22 ,33 ,19 ,48 ,242 ,1240 ,1738 ,5872 ,869 ,715 ,1258 ,4008 ,2395 ,2044 ,1464 ,1926 ,2587 
2013,Belarus,124 ,7 ,27 ,6 ,16 ,82 ,901 ,78 ,235 ,148 ,67 ,101 ,121 ,130 ,84 ,18 ,48 ,102 ,109 ,106 ,296 ,224 ,262 ,150 
2013,Russia,1097 ,1626 ,4201 ,718 ,738 ,2463 ,2595 ,2847 ,5288 ,4755 ,4776 ,2233 ,6709 ,8026 ,6412 ,3571 ,4677 ,12989 ,22204 ,25776 ,39461 ,12442 ,11813 ,8477 
2013,Philippines,842 ,574 ,438 ,318 ,444 ,1351 ,1979 ,1582 ,1719 ,1231 ,2006 ,1128 ,1721 ,1288 ,1394 ,582 ,551 ,1451 ,2620 ,3706 ,3014 ,3483 ,6536 ,2509 
2013,Kazakhstan,40 ,141 ,42 ,123 ,43 ,60 ,201 ,300 ,1106 ,183 ,154 ,161 ,55 ,261 ,104 ,76 ,97 ,99 ,270 ,194 ,306 ,182 ,263 ,105 
2013,Czech,34 ,1 ,3 ,,,8 ,8 ,10 ,38 ,43 ,50 ,17 ,171 ,108 ,348 ,150 ,196 ,186 ,265 ,319 ,345 ,452 ,279 ,124 
2013,Malaysia,405 ,650 ,351 ,176 ,348 ,285 ,543 ,729 ,686 ,2186 ,668 ,479 ,344 ,370 ,592 ,161 ,188 ,502 ,700 ,918 ,1325 ,1880 ,1057 ,669 
2013,Mongolia,145 ,79 ,59 ,43 ,19 ,91 ,128 ,198 ,192 ,435 ,117 ,64 ,104 ,116 ,39 ,18 ,247 ,36 ,82 ,172 ,106 ,89 ,100 ,55 
2013,Burma,508 ,332 ,414 ,75 ,151 ,222 ,315 ,271 ,356 ,344 ,248 ,223 ,888 ,474 ,619 ,189 ,1175 ,397 ,546 ,539 ,560 ,723 ,560 ,422 
2013,Saudi Arabia,36 ,36 ,42 ,83 ,55 ,46 ,122 ,135 ,211 ,221 ,168 ,233 ,1158 ,872 ,1443 ,524 ,511 ,1196 ,2024 ,2470 ,2206 ,4392 ,3643 ,1819 
